"Date","Price","Open","High","Low","Vol.","Change %"
"11/12/2020","1,502.99","1,512.20","1,517.50","1,510.74","0.01K","-0.18%"
"11/11/2020","1,505.70","1,517.50","1,517.50","1,512.00","0.01K","0.01%"
"11/10/2020","1,505.50","1,512.00","1,517.50","1,512.00","0.01K","-0.10%"
"11/09/2020","1,507.00","1,512.00","1,518.98","1,512.00","0.02K","0.10%"
"11/06/2020","1,505.50","1,512.20","1,517.50","1,512.00","0.04K","-0.01%"
"11/05/2020","1,505.70","1,512.20","1,514.00","1,512.00","0.02K","0.00%"
"11/04/2020","1,505.70","1,512.00","1,515.15","1,510.74","0.02K","0.00%"
"11/03/2020","1,505.70","1,512.00","1,514.00","1,512.00","0.10K","0.01%"
"11/02/2020","1,505.50","1,512.20","1,515.15","1,511.24","0.03K","-0.01%"
"10/30/2020","1,505.70","1,512.00","1,514.00","1,512.00","0.01K","0.01%"
"10/29/2020","1,505.50","1,512.20","1,514.00","1,512.00","0.03K","-0.01%"
"10/28/2020","1,505.70","1,512.00","1,512.20","1,512.00","0.01K","-0.09%"
"10/27/2020","1,507.00","1,512.20","1,514.00","1,512.00","0.01K","0.09%"
"10/26/2020","1,505.70","1,512.00","1,514.00","1,511.24","0.01K","0.01%"
"10/23/2020","1,505.50","1,512.00","1,514.00","1,512.00","0.02K","0.17%"
"10/22/2020","1,502.99","1,512.20","1,518.00","1,510.74","0.02K","0.00%"
"10/21/2020","1,502.99","1,512.00","1,515.15","1,510.74","0.03K","-0.18%"
"10/20/2020","1,505.70","1,512.00","1,514.00","1,510.74","0.06K","0.01%"
"10/19/2020","1,505.50","1,512.20","1,514.15","1,511.74","0.10K","-0.01%"
"10/16/2020","1,505.70","1,512.00","1,514.15","1,511.74","0.01K","-0.09%"
"10/15/2020","1,507.00","1,512.00","1,514.00","1,512.00","0.01K","0.10%"
"10/14/2020","1,505.50","1,512.20","1,514.00","1,512.00","0.14K","-0.01%"
"10/13/2020","1,505.70","1,512.20","1,516.14","1,512.00","0.06K","0.01%"
"10/12/2020","1,505.50","1,512.20","1,512.20","1,512.00","0.02K","-0.01%"
"10/09/2020","1,505.70","1,512.00","1,515.15","1,511.24","0.01K","0.01%"
"10/08/2020","1,505.50","1,512.20","1,514.00","1,512.00","0.01K","-0.01%"
